grupo,arquivo,tipo,Nedge,max_abs_Txx,max_abs_Tyy,max_abs_worst,rms_worst,max95_worst
FIXO_N24,meshC_banda_250-330_THz_5.ts,FIXO,24,0.19944551577455782,0.06535997654478337,0.19944551577455782,0.011702313519695055,0.008477122773638213
FIXO_N30,meshC_banda_250-330_THz_7.ts,FIXO,30,0.0,0.0,0.0,0.0,0.0
ADAPT_N20,meshD_adapt_banda_250-330_THz_1.ts,ADAPT,20,0.6909064795310986,0.5428606957765739,0.6909064795310986,0.05265970192409727,0.03132156984279566
ADAPT_N24,meshD_adapt_banda_250-330_THz_2.ts,ADAPT,24,0.6860871172699659,0.5429646788564872,0.6860871172699659,0.05279386732780773,0.032877090473373394
