file,f_THz,Txx_mag,Tyy_mag,Txy_mag,Tyx_mag
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",250.0,0.9511347076650079,0.9816085468688066,0.0008485092602016786,0.0008996843985515143
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",250.2,0.9496759699313234,0.9821417097069035,0.0008546117006371948,0.0008812199813735521
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",250.4,0.9482521336817545,0.9826640696011024,0.0008595638516329081,0.0008708365278891325
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",250.6,0.9468685082523338,0.9831761293161059,0.0008632875778765729,0.0008659292966818942
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",250.8,0.9455336024282796,0.9836753501943616,0.0008657215297247724,0.0008647954241252667
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",251.0,0.944253423697791,0.984164173606213,0.0008668224408089583,0.0008663050861330552
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",251.2,0.9430321141451121,0.9846383042000751,0.0008665655713429884,0.000869693181683057
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",251.4,0.9418781148163492,0.9850998550751087,0.0008649499491097737,0.0008744369769657503
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",251.6,0.9407955203486037,0.9855468254857301,0.0008619943762275947,0.0008801721940949964
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",251.8,0.9397883069931228,0.9859774571687732,0.0008577406673633937,0.0008866410238908475
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",252.0,0.9388623573905815,0.9863937853585657,0.0008522471277745676,0.0008936624873026423
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",252.2,0.9380217571634466,0.9867919993499136,0.0008455913740284733,0.0009011044925382894
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",252.4,0.9372680650582309,0.9871733361497361,0.0008378617393118987,0.0009088730358245258
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",252.6,0.936607186658313,0.9875370381914798,0.0008291612848483192,0.000916897872634679
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",252.8,0.9360411271071373,0.9878806864201769,0.0008195982721418403,0.0009251276283464892
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",253.0,0.9355716130975759,0.9882060103359015,0.0008092858057016447,0.0009335221691218694
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",253.2,0.9352008566211858,0.9885099340401187,0.0007983376530079313,0.0009420533469236218
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",253.4,0.9349307874703882,0.9887939534731186,0.0007868667842938855,0.0009506977822084156
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",253.6,0.9347623616112279,0.9890554361030529,0.0007749820305174824,0.0009594348624320466
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",253.8,0.9346973871478405,0.9892951080168142,0.000762787831214552,0.0009682507050604198
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",254.0,0.9347340569835892,0.9895110870834141,0.0007503800772155402,0.0009771301998776826
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",254.2,0.9348731827665182,0.9897040403363018,0.0007378493856912822,0.0009860603924892212
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",254.4,0.9351161287936383,0.9898725874560826,0.0007252747681327401,0.0009950299381571391
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",254.6,0.9354599426004301,0.9900164067857663,0.0007127309383722584,0.0010040228878910081
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",254.8,0.9359035108749192,0.9901345183584905,0.0007002802543075164,0.0010130279946028145
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",255.0,0.9364466319358515,0.9902263496170964,0.000687980512987105,0.0010220292818980286
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",255.2,0.937086083133241,0.9902917518312467,0.000675881627491828,0.0010310103887934386
