file,t_air_nm,t_sub_nm,max_|ΔTxx|,fworst_Txx_THZ,max_|ΔTyy|,fworst_Tyy_THZ,pass
"MWS-sweep-01-0009.s4p (tair=1200,tsub=2000)",1200.0,2000.0,0.0,250.0,0.0,250.0,1
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",800.0,1000.0,0.1347204380313648,289.6,0.050793481729507484,277.8,0
"MWS-sweep-01-0002.s4p (tair=800,tsub=1500)",800.0,1500.0,0.14096409704739143,330.0,0.0653555547419703,306.0,0
"MWS-sweep-01-0003.s4p (tair=800,tsub=2000)",800.0,2000.0,0.19926032929094256,289.6,0.007430317033201961,306.4,0
"MWS-sweep-01-0004.s4p (tair=1000,tsub=1000)",1000.0,1000.0,0.1135404271435837,329.2,0.05281582375337479,277.6,0
"MWS-sweep-01-0006.s4p (tair=1000,tsub=2000)",1000.0,2000.0,0.06505337893424938,289.6,0.023949922323584172,306.6,0
"MWS-sweep-01-0007.s4p (tair=1200,tsub=1000)",1200.0,1000.0,0.11082258247297161,329.0,0.05163105935232626,277.6,0
"MWS-sweep-01-0008.s4p (tair=1200,tsub=1500)",1200.0,1500.0,0.1517434956934497,289.4,0.06453092154436968,308.0,0
